Episode 246	Step 255636	Time 4259.36	Epsilon 0.01	Reward 1597.0
Episode 247	Step 256222	Time 4270.17	Epsilon 0.01	Reward 1596.0
Episode 248	Step 257050	Time 4283.16	Epsilon 0.01	Reward 1521.0
Episode 249	Step 257868	Time 4298.74	Epsilon 0.01	Reward 2237.0
Episode 250	Step 258462	Time 4308.31	Epsilon 0.01	Reward 1957.0
Episode 251	Step 261817	Time 4363.51	Epsilon 0.01	Reward 1607.0
Episode 252	Step 262727	Time 4380.47	Epsilon 0.01	Reward 1641.0
Episode 253	Step 264987	Time 4418.34	Epsilon 0.01	Reward 1776.0
Episode 254	Step 266691	Time 4447.78	Epsilon 0.01	Reward 1724.0
Episode 255	Step 269194	Time 4489.21	Epsilon 0.01	Reward 1619.0
Episode 256	Step 270267	Time 4508.92	Epsilon 0.01	Reward 1466.0
Episode 257	Step 271458	Time 4527.62	Epsilon 0.01	Reward 1991.0
Episode 258	Step 271695	Time 4531.44	Epsilon 0.01	Reward 1104.0
Episode 259	Step 273642	Time 4564.47	Epsilon 0.01	Reward 2345.0
Episode 260	Step 274439	Time 4579.76	Epsilon 0.01	Reward 2244.0
Episode 261	Step 276919	Time 4621.68	Epsilon 0.01	Reward 2026.0
Episode 262	Step 277480	Time 4630.41	Epsilon 0.01	Reward 1837.0
Episode 263	Step 280291	Time 4676.74	Epsilon 0.01	Reward 1591.0
Episode 264	Step 280487	Time 4682.36	Epsilon 0.01	Reward 1491.0
Episode 265	Step 281551	Time 4698.74	Epsilon 0.01	Reward 1451.0
Episode 266	Step 282233	Time 4709.41	Epsilon 0.01	Reward 2935.0
Episode 267	Step 283583	Time 4733.39	Epsilon 0.01	Reward 1201.0
Episode 268	Step 283980	Time 4739.61	Epsilon 0.01	Reward 1573.0
Episode 269	Step 285278	Time 4763.15	Epsilon 0.01	Reward 1080.0
Episode 270	Step 285712	Time 4769.89	Epsilon 0.01	Reward 1632.0
Episode 271	Step 285794	Time 4771.17	Epsilon 0.01	Reward 741.0
Episode 272	Step 289024	Time 4827.04	Epsilon 0.01	Reward 2068.0
